total_return,final_value,mdd,sharpe,buys,sells,trades,time_in_market,days_in_market,short_ma,long_ma,base_pct,dip,tranches,entries,exits,dip_buys,annual_trades,tranche_pct
643.7481615990513,371874.08079952566,-30.11110132518805,0.7949927170854774,,,80,,,7,104,0.6,0.15,3.0,18,18,44,8.005479452054795,0.1
641.2884259711926,370644.21298559627,-28.017208482946167,0.8160689409019225,,,50,,,7,104,0.6,0.2,1.0,18,18,14,5.0034246575342465,0.1
656.4545337989895,378227.26689949475,-28.61046024127808,0.8141181753243975,,,58,,,7,104,0.6,0.2,2.0,18,18,22,5.803972602739726,0.1
667.9204561451637,383960.2280725818,-29.94115788849674,0.81230424573437,,,66,,,7,104,0.6,0.2,3.0,18,18,30,6.604520547945205,0.1
946.8527988338911,523426.3994169456,-31.770827825226,0.8539966218990074,,,54,,,7,104,0.7,0.05,1.0,18,18,18,5.403698630136986,0.1
1002.2234076898721,551111.7038449361,-32.09149604682482,0.85406030564696,,,72,,,7,104,0.7,0.05,2.0,18,18,36,7.204931506849315,0.1
1038.8823740627288,569441.1870313644,-33.10374731230434,0.850433983162843,,,90,,,7,104,0.7,0.05,3.0,18,18,54,9.006164383561643,0.1
872.8860260575506,486443.0130287753,-31.61037914679306,0.835002871376851,,,54,,,7,104,0.7,0.08,1.0,18,18,18,5.403698630136986,0.1
906.5040952658692,503252.0476329345,-32.20523614524664,0.8313310556421813,,,72,,,7,104,0.7,0.08,2.0,18,18,36,7.204931506849315,0.1
943.8795757743808,521939.7878871904,-33.67236722173212,0.8297190287237319,,,88,,,7,104,0.7,0.08,3.0,18,18,52,8.806027397260273,0.1
879.514778352085,489757.38917604246,-31.608513789658023,0.8382740352150476,,,53,,,7,104,0.7,0.1,1.0,18,18,17,5.3036301369863015,0.1
922.5889676110461,511294.483805523,-31.771450257956772,0.8385311044703515,,,70,,,7,104,0.7,0.1,2.0,18,18,34,7.004794520547945,0.1
962.0188158575727,531009.4079287864,-32.516950877804135,0.8386716609691154,,,86,,,7,104,0.7,0.1,3.0,18,18,50,8.605890410958903,0.1
844.6126942385988,472306.34711929935,-31.57642830966135,0.8329930728260175,,,52,,,7,104,0.7,0.15,1.0,18,18,16,5.2035616438356165,0.1
851.4928971434225,475746.44857171125,-31.673781091895087,0.8271832028175868,,,67,,,7,104,0.7,0.15,2.0,18,18,31,6.70458904109589,0.1
863.6509400681211,481825.4700340606,-31.738119438280815,0.8234829501429964,,,80,,,7,104,0.7,0.15,3.0,18,18,44,8.005479452054795,0.1
862.6931704794786,481346.5852397392,-31.505784484043513,0.8397993527399752,,,50,,,7,104,0.7,0.2,1.0,18,18,14,5.0034246575342465,0.1
879.0296909121878,489514.8454560939,-31.5717000184822,0.838357461648677,,,58,,,7,104,0.7,0.2,2.0,18,18,22,5.803972602739726,0.1
892.3265353418626,496163.26767093135,-31.720334518376742,0.8372534441041529,,,66,,,7,104,0.7,0.2,3.0,18,18,30,6.604520547945205,0.1
1235.3004758497393,667650.2379248696,-34.96658158423843,0.8744327119725253,,,54,,,7,104,0.8,0.05,1.0,18,18,18,5.403698630136986,0.1
1298.4026605723868,699201.3302861934,-35.21298537407163,0.8750676836723073,,,72,,,7,104,0.8,0.05,2.0,18,18,36,7.204931506849315,0.1
1314.1917226827559,707095.861341378,-35.41533523345624,0.8702758640450072,,,89,,,7,104,0.8,0.05,3.0,18,18,53,8.906095890410958,0.1
1147.363679242054,623681.839621027,-34.84708820837521,0.858149913073186,,,54,,,7,104,0.8,0.08,1.0,18,18,18,5.403698630136986,0.1
1184.5210195096429,642260.5097548214,-34.97892020213029,0.8554212353829719,,,72,,,7,104,0.8,0.08,2.0,18,18,36,7.204931506849315,0.1
1204.3106930093534,652155.3465046766,-35.09489276375698,0.8523848872518023,,,87,,,7,104,0.8,0.08,3.0,18,18,51,8.705958904109588,0.1
1155.9299135544413,627964.9567772206,-34.84571803337525,0.8609751445371903,,,53,,,7,104,0.8,0.1,1.0,18,18,17,5.3036301369863015,0.1
1205.6467258576188,652823.3629288094,-34.97272719413635,0.8617822006494336,,,70,,,7,104,0.8,0.1,2.0,18,18,34,7.004794520547945,0.1
1225.7892559098418,662894.627954921,-35.08561071244255,0.8596876581976503,,,85,,,7,104,0.8,0.1,3.0,18,18,49,8.505821917808218,0.1
1115.437603288627,607718.8016443135,-34.82050441137633,0.856329186507985,,,52,,,7,104,0.8,0.15,1.0,18,18,16,5.2035616438356165,0.1
1121.9526550000332,610976.3275000165,-34.89578371568086,0.8516589583857188,,,67,,,7,104,0.8,0.15,2.0,18,18,31,6.70458904109589,0.1
1139.6126873293822,619806.3436646911,-34.94499680299961,0.8510624401289131,,,79,,,7,104,0.8,0.15,3.0,18,18,43,7.905410958904109,0.1
1135.3920347092474,617696.0173546236,-34.76639000721438,0.861636760877636,,,50,,,7,104,0.8,0.2,1.0,18,18,14,5.0034246575342465,0.1
1152.9451072827633,626472.5536413817,-34.817474606746615,0.8605283622982296,,,58,,,7,104,0.8,0.2,2.0,18,18,22,5.803972602739726,0.1
1168.1534399333118,634076.7199666558,-34.88592419297774,0.8608611960308638,,,65,,,7,104,0.8,0.2,3.0,18,18,29,6.504452054794521,0.1
