total_return,final_value,mdd,sharpe,buys,sells,trades,time_in_market,days_in_market,short_ma,long_ma
473.8544255743976,286927.21278719883,-42.02445994682172,0.6286116082808184,38,38,76,59.76920015917231,1502,1,144
494.5678645676948,297283.9322838474,-42.79367893222448,0.6368498014470135,37,37,74,59.76920015917231,1502,1,145
527.3264603699939,313663.23018499697,-44.76617774565157,0.6496004238583263,36,36,72,59.80899323517708,1503,1,146
659.5154405023519,379757.720251176,-40.18572290067901,0.6956082837686219,34,34,68,59.80899323517708,1503,1,147
685.127627753285,392563.8138766425,-40.185722900679,0.7031168501898015,33,33,66,59.9283724631914,1506,1,148
681.7950705900107,390897.53529500536,-40.185722900679,0.7021061836818735,33,33,66,59.888579387186624,1505,1,149
621.545227511845,360772.61375592253,-40.18572290067902,0.6824018020243635,33,33,66,60.00795861520095,1508,1,150
649.8621330765957,374931.06653829786,-40.18572290067899,0.6913722094321811,34,34,68,60.12733784321528,1511,1,151
722.7805738877146,411390.2869438573,-40.18572290067901,0.7132235313223769,32,32,64,60.12733784321528,1511,1,152
662.4080092909596,381204.00464547984,-40.18572290067901,0.6956689507556597,32,32,64,60.08754476721051,1510,1,153
507.5252902467484,303762.6451233742,-52.33695657334524,0.640075368874201,32,32,64,60.12733784321528,1511,1,154
463.02601382547033,281513.0069127352,-52.33695657334524,0.6219735946032403,33,33,66,60.16713091922006,1512,1,155
478.2105699053763,289105.28495268815,-52.33695657334524,0.6281778355186193,31,31,62,60.28651014723438,1515,1,156
538.5086847130823,319254.34235654114,-52.33695657334525,0.651647415035622,30,30,60,60.28651014723438,1515,1,157
556.1572946113511,328078.6473056755,-51.15158755053788,0.6577255669378429,28,28,56,60.44568245125348,1519,1,158
541.2584935794087,320629.2467897043,-51.15158755053789,0.6521428813773043,28,28,56,60.48547552725826,1520,1,159
562.1102866552708,331055.14332763536,-51.151587550537904,0.6595639742270625,27,27,54,60.52526860326303,1521,1,160
546.592811941777,323296.4059708885,-51.15158755053789,0.65406739041664,27,27,54,60.44568245125348,1519,1,161
546.592811941777,323296.4059708885,-51.15158755053789,0.65406739041664,27,27,54,60.44568245125348,1519,1,162
556.6556682021157,328327.8341010579,-50.39136482002454,0.6576664796645124,26,26,52,60.48547552725826,1520,1,163
548.9391345346194,324469.5672673097,-50.39136482002456,0.654908803827115,27,27,54,60.44568245125348,1519,1,164
548.9391345346194,324469.5672673097,-50.39136482002456,0.654908803827115,27,27,54,60.44568245125348,1519,1,165
542.984600802732,321492.30040136597,-50.39136482002456,0.6526251617023515,28,28,56,60.52526860326303,1521,1,166
572.1257139524331,336062.85697621654,-50.39136482002456,0.6627903016141344,28,28,56,60.604854755272584,1523,1,167
590.4969164142801,345248.45820714004,-50.39136482002456,0.6690422764386786,27,27,54,60.644647831277354,1524,1,168
596.5733434500305,348286.6717250153,-50.39136482002456,0.6710846900525202,26,26,52,60.68444090728213,1525,1,169
619.8529997551033,359926.4998775516,-50.39136482002456,0.6783874727818286,25,25,50,60.80382013529646,1528,1,170
729.848134019279,414924.0670096395,-50.391364820024535,0.7113810890397989,24,24,48,60.84361321130123,1529,1,171
729.848134019279,414924.0670096395,-50.391364820024535,0.7113810890397989,24,24,48,60.84361321130123,1529,1,172
669.7240454918915,384862.0227459457,-50.391364820024535,0.6934344915581235,26,26,52,60.88340628730601,1530,1,173
744.7359119793912,422367.9559896956,-50.391364820024585,0.7156381308396754,25,25,50,60.84361321130123,1529,1,174
783.1276273703953,441563.8136851976,-50.39136482002458,0.7258653673014335,24,24,48,60.923199363310786,1531,1,175
783.1276273703953,441563.8136851976,-50.39136482002458,0.7258653673014335,24,24,48,60.923199363310786,1531,1,176
767.4846350298316,433742.3175149158,-50.39136482002456,0.7216563126578293,26,26,52,60.962992439315556,1532,1,177
731.1269761108331,415563.48805541656,-50.39136482002456,0.7115193508659093,25,25,50,61.04257859132511,1534,1,178
731.1269761108331,415563.48805541656,-50.39136482002456,0.7115193508659093,25,25,50,61.04257859132511,1534,1,179
731.1269761108331,415563.48805541656,-50.39136482002456,0.7115193508659093,25,25,50,61.04257859132511,1534,1,180
688.3842364913903,394192.11824569514,-50.39136482002458,0.6994598840870985,25,25,50,61.04257859132511,1534,1,181
728.8928078049835,414446.4039024918,-50.39136482002456,0.709986695429982,24,24,48,61.20175089534421,1538,1,182
792.3391608313825,446169.58041569125,-50.39136482002458,0.7267690498687354,25,25,50,61.20175089534421,1538,1,183
833.2808392858153,466640.4196429077,-50.39136482002458,0.737174134818878,25,25,50,61.20175089534421,1538,1,184
843.7130527179978,471856.5263589989,-50.39136482002458,0.7397491895818451,24,24,48,61.28133704735376,1540,1,185
864.2073683182101,482103.68415910506,-50.39136482002458,0.7446972658328243,24,24,48,61.36092319936331,1542,1,186
891.7605027844486,495880.2513922243,-50.391364820024585,0.750980377728235,24,24,48,61.40071627536808,1543,1,187
891.7605027844486,495880.2513922243,-50.391364820024585,0.750980377728235,24,24,48,61.40071627536808,1543,1,188
807.0700197792443,453535.0098896221,-50.39136482002458,0.7297007951145422,25,25,50,61.52009550338241,1546,1,189
859.5850471677924,479792.52358389617,-50.00886129875587,0.7424386733459214,25,25,50,61.55988857938719,1547,1,190
859.5850471677924,479792.52358389617,-50.00886129875587,0.7424386733459214,25,25,50,61.55988857938719,1547,1,191
892.3138737330952,496156.93686654756,-50.00886129875586,0.7501005537598736,24,24,48,61.59968165539196,1548,1,192
984.6604650907817,542330.2325453908,-50.00886129875586,0.7703577809321891,24,24,48,61.59968165539196,1548,1,193
1020.3973962545367,560198.6981272683,-50.008861298755846,0.777746535262465,23,23,46,61.63947473139674,1549,1,194
996.6620190616453,548331.0095308226,-50.008861298755846,0.7728431704606108,23,23,46,61.59968165539196,1548,1,195
932.743110281998,516371.55514099903,-50.008861298755846,0.7586972581857253,23,23,46,61.63947473139674,1549,1,196
980.9422898695952,540471.1449347977,-50.00886129875587,0.7692442467664166,22,22,44,61.63947473139674,1549,1,197
935.9601757905602,517980.08789528016,-50.00886129875587,0.7592922057823013,22,22,44,61.679267807401516,1550,1,198
989.3702516093299,544685.1258046649,-50.00886129875587,0.770644812891935,22,22,44,61.719060883406286,1551,1,199
974.6282203824635,537314.1101912317,-50.00886129875586,0.7675203086197633,23,23,46,61.679267807401516,1550,1,200
1008.4817059833455,554240.8529916727,-50.00886129875586,0.7744705657468782,23,23,46,61.75885395941106,1552,1,201
1022.1453653552319,561072.6826776159,-50.00886129875586,0.777279874431207,23,23,46,61.79864703541583,1553,1,202
1015.9298502698864,557964.9251349432,-50.00886129875586,0.7758113251350727,23,23,46,61.878233187425394,1555,1,203
927.0178461495514,513508.92307477567,-51.901995519866716,0.7566620745270989,23,23,46,61.83844011142061,1554,1,204
941.9571065185071,520978.55325925356,-51.901995519866716,0.7599687887553978,23,23,46,61.878233187425394,1555,1,205
906.9351888631012,503467.5944315506,-51.90199551986673,0.7519826629493929,24,24,48,61.95781933943494,1557,1,206
906.9351888631012,503467.5944315506,-51.90199551986673,0.7519826629493929,24,24,48,61.95781933943494,1557,1,207
964.151945029828,532075.972514914,-51.90199551986673,0.7649381391221172,23,23,46,61.91802626343016,1556,1,208
845.708632312621,472854.31615631055,-49.96175006540951,0.7468963659689674,21,21,42,56.625547154795065,1423,1,209
